CBNO,ILCE_CBNO,ADI,ALAN,CEVRE,NUFUS,POSTAKODU
111.00000,4.00000,HUNAT,834806.00000,3964.00000,3107.00000,"38140"
485.00000,15.00000,ŞIHLI,69379575.00000,46890.00000,478.00000,"38400"
195.00000,4.00000,TACETTİNVELİ,1077047.00000,4709.00000,5785.00000,"38150"
507.00000,6.00000,YÜNÖREN,39076909.00000,30048.00000,424.00000,"38600"
517.00000,6.00000,ELBAŞI,76427483.00000,49088.00000,687.00000,"38600"
185.00000,3.00000,SEYRANİ,508496.00000,3310.00000,4454.00000,"38040"
798.00000,6.00000,CUMHURİYET,784713.00000,4762.00000,1311.00000,"38600"
187.00000,2.00000,SÜKSÜN CUMHURİYET,14906050.00000,23788.00000,500.00000,"38560"
188.00000,2.00000,SÜKSÜN HÜRRİYET,15574270.00000,20531.00000,209.00000,"38560"
189.00000,2.00000,SÜKSÜN ZAFER,25120285.00000,24737.00000,1798.00000,"38560"
194.00000,5.00000,TABLAKAYA,4980949.00000,14708.00000,2707.00000,"38280"
801.00000,9.00000,YUKARI,10657251.00000,18978.00000,312.00000,"38830"
495.00000,6.00000,KAHVECİ,24968667.00000,24975.00000,264.00000,"38600"
518.00000,6.00000,KOYUNABDAL,61735843.00000,49962.00000,600.00000,"38600"
296.00000,14.00000,SİLAHTAR,29972715.00000,32877.00000,158.00000,"38750"
65.00000,3.00000,VATAN,13186207.00000,18053.00000,182.00000,"38095"
148.00000,3.00000,MAHZEMİN,56780920.00000,46675.00000,1710.00000,"38090"
70.00000,4.00000,ESENTEPE,4057763.00000,9455.00000,18701.00000,"38130"
3.00000,5.00000,AKÇAKAYA,8507261.00000,18434.00000,509.00000,"38300"
119.00000,1.00000,KARPUZSEKİSİ,34031156.00000,35662.00000,828.00000,"38315"
216.00000,5.00000,YENİDOĞAN,3489028.00000,8265.00000,26372.00000,"38280"
721.00000,10.00000,HÜRRİYET,2718649.00000,8861.00000,2427.00000,"38700"
831.00000,14.00000,BÜYÜKTORAMAN HÜRRİYET,12971864.00000,24767.00000,477.00000,
172.00000,3.00000,SAHABİYE,1114150.00000,4223.00000,14790.00000,"38015"
173.00000,1.00000,SAKARÇİFTLİĞİ,21648472.00000,28566.00000,363.00000,"38315"
175.00000,3.00000,SANAYİ,1644642.00000,7500.00000,1091.00000,"38010"
176.00000,3.00000,SANCAKTEPE,2369481.00000,6602.00000,8537.00000,"38040"
178.00000,2.00000,SARAYCIK,20568615.00000,20020.00000,2394.00000,"38560"
179.00000,2.00000,SARIKÜRKLÜ,14044177.00000,22444.00000,221.00000,"38560"
180.00000,4.00000,SELÇUKLU,1341372.00000,6016.00000,20018.00000,"38150"
181.00000,4.00000,SELİMİYE,581776.00000,3071.00000,8409.00000,"38170"
177.00000,3.00000,SARAY BOSNA,1731850.00000,6128.00000,1512.00000,"38040"
199.00000,4.00000,TINAZTEPE,1398023.00000,5532.00000,11733.00000,"38170"
201.00000,4.00000,KÜÇÜK BÜRÜNGÜZ,15236696.00000,27149.00000,366.00000,"38195"
202.00000,4.00000,SUBAŞI,18755922.00000,21939.00000,267.00000,"38195"
203.00000,3.00000,TURGUT REİS,981726.00000,4745.00000,14196.00000,"38060"
212.00000,1.00000,YENİ,708918.00000,3501.00000,1570.00000,"38310"
214.00000,3.00000,SÜMER YENİ,1399108.00000,4900.00000,13498.00000,"38040"
215.00000,2.00000,YENİ CAMİİ,2428524.00000,8366.00000,219.00000,"38560"
204.00000,3.00000,UĞUREVLER,2057221.00000,6619.00000,12394.00000,"38020"
50.00000,5.00000,REŞADİYE,14689082.00000,24799.00000,1596.00000,"38300"
228.00000,5.00000,ZİNCİDERE,17020969.00000,23977.00000,595.00000,"38300"
355.00000,16.00000,KAPUZBAŞI,65503278.00000,51532.00000,617.00000,"38500"
356.00000,16.00000,ULUPINAR,244923754.00000,70905.00000,552.00000,"38500"
357.00000,16.00000,YEŞİLKÖY,41172836.00000,29810.00000,405.00000,"38500"
358.00000,8.00000,MURATBEYLİ,18484035.00000,22865.00000,184.00000,"38820"
359.00000,8.00000,KEKLİKOĞLU,11562908.00000,24992.00000,99.00000,"38820"
360.00000,8.00000,SOFUMAHMUT,11519417.00000,19629.00000,184.00000,"38820"
361.00000,8.00000,YILDIRIM,36323500.00000,34408.00000,252.00000,"38820"
299.00000,14.00000,ALPARSLAN,27815855.00000,30016.00000,126.00000,"38750"
363.00000,8.00000,PALAS,80621868.00000,55134.00000,2990.00000,"38820"
364.00000,16.00000,DENİZOVASI,22232874.00000,23488.00000,29.00000,"38500"
365.00000,16.00000,SÜLEYMANFAKILI,31911872.00000,33413.00000,82.00000,"38500"
366.00000,16.00000,TAŞHAN,54388439.00000,39033.00000,584.00000,"38500"
371.00000,8.00000,ALAMETTİN,69896846.00000,51199.00000,467.00000,"38820"
373.00000,9.00000,ALEVKIŞLA,7535605.00000,15480.00000,156.00000,"38830"
444.00000,6.00000,SULTANHANI,20649169.00000,23985.00000,285.00000,"38600"
217.00000,3.00000,YENİDOĞAN,2706243.00000,7635.00000,11441.00000,"38060"
218.00000,4.00000,YENİKÖY,1640116.00000,6022.00000,17166.00000,"38120"
667.00000,10.00000,BÜYÜKGÜRLEĞEN,13022431.00000,23673.00000,132.00000,"38700"
220.00000,3.00000,YENİŞEHİR,945555.00000,4044.00000,10781.00000,"38060"
222.00000,4.00000,YEŞİLYURT,21634713.00000,27911.00000,14097.00000,"38190"
535.00000,10.00000,ÇUKURYURT,37298955.00000,33896.00000,48.00000,"38700"
558.00000,13.00000,HACIPAŞA,25620295.00000,26060.00000,125.00000,"38900"
223.00000,4.00000,YILDIRIM BEYAZIT,4439216.00000,9274.00000,25472.00000,"38140"
848.00000,16.00000,ÇAĞLAYAN,40479205.00000,34902.00000,351.00000,
578.00000,10.00000,ALAMESCİT,10684116.00000,23904.00000,34.00000,"38700"
227.00000,3.00000,YUNUS EMRE,2065141.00000,6729.00000,17940.00000,"38060"
229.00000,3.00000,ZİYAGÖKALP,1026787.00000,4277.00000,14326.00000,"38060"
79.00000,4.00000,BAĞPINAR,10148588.00000,18125.00000,290.00000,"38190"
80.00000,4.00000,GESİ,12784351.00000,17737.00000,2080.00000,"38190"
192.00000,3.00000,ŞEKER,10897746.00000,20394.00000,7891.00000,"38070"
332.00000,16.00000,KOCAHACILI,21835395.00000,27261.00000,568.00000,"38500"
286.00000,2.00000,ŞEYHŞABAN,107069040.00000,65726.00000,286.00000,"38560"
261.00000,3.00000,MOLLAHACI,25026264.00000,31403.00000,218.00000,"38095"
617.00000,13.00000,AKMEZAR,14068582.00000,20281.00000,88.00000,"38900"
198.00000,4.00000,TAVLUSUN,11945110.00000,20079.00000,5970.00000,"38165"
225.00000,5.00000,YUKARI,3296102.00000,10247.00000,1122.00000,"38280"
165.00000,3.00000,ORUÇREİS,3361226.00000,8534.00000,2819.00000,"38060"
161.00000,3.00000,MİTHATPAŞA,3907310.00000,9437.00000,16192.00000,"38060"
253.00000,3.00000,YÜREĞİL,14969638.00000,21520.00000,377.00000,"38095"
280.00000,4.00000,AĞIRNAS,57603746.00000,51149.00000,2633.00000,"38195"
270.00000,3.00000,BAYRAMHACI,55700944.00000,37280.00000,238.00000,"38090"
300.00000,14.00000,CUMHURİYET,59321610.00000,48650.00000,521.00000,"38750"
226.00000,1.00000,YUKARI,27531890.00000,45885.00000,1512.00000,"38310"
388.00000,16.00000,GAZİBEYLİ,1789004.00000,8284.00000,3254.00000,"38500"
128.00000,2.00000,KIZILÖREN AŞAĞI,69157457.00000,44001.00000,992.00000,"38560"
