id,level,parent_id,region_id,region_name,name,name_ascii,slug,plate_code,district_local_code,iso_3166_2,nuts_code,tuik_id,icisleri_id,osm_relation_id,municipality_type,municipality_type_label,is_metropolitan_municipality,centroid_lat,centroid_lon,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,aliases,member_ids,x,y,coordinate_system
TR-P-45,province,TR-R-EGE,TR-R-EGE,Ege,Manisa,manisa,manisa,45,,TR-45,TR331,45,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,38.74895457,28.08507603,27.099368364000043,38.08566228200016,29.113901700000042,39.41030379400007,[],[],28.08507603,38.74895457,EPSG:4326
TR-P-46,province,TR-R-AKD,TR-R-AKD,Akdeniz,Kahramanmaraş,kahramanmaras,kahramanmaras,46,,TR-46,TR632,46,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,37.88382422,36.952599,36.18040377700015,37.17952864900019,37.747331023000186,38.58785613900011,[],[],36.952599,37.88382422,EPSG:4326
TR-P-47,province,TR-R-GDA,TR-R-GDA,Güneydoğu Anadolu,Mardin,mardin,mardin,47,,TR-47,TRC31,47,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,37.32846898,40.77546934,39.859104409000054,36.91246463300001,41.89738862600018,37.74442179100015,[],[],40.77546934,37.32846898,EPSG:4326
TR-P-48,province,TR-R-EGE,TR-R-EGE,Ege,Muğla,mugla,mugla,48,,TR-48,TR323,48,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,36.92655179,28.63314924,27.196555000000103,36.295160299000145,29.81192417900013,37.55790738900015,[],[],28.63314924,36.92655179,EPSG:4326
TR-P-49,province,TR-R-DOA,TR-R-DOA,Doğu Anadolu,Muş,mus,mus,49,,TR-49,TRB22,49,,,il_belediyesi,İl Belediyesi,false,38.99543401,41.93947668,41.11144024900017,38.47847018700003,42.718325789,39.512274987000126,[],[],41.93947668,38.99543401,EPSG:4326
TR-P-50,province,TR-R-ICA,TR-R-ICA,İç Anadolu,Nevşehir,nevsehir,nevsehir,50,,TR-50,TR714,50,,,il_belediyesi,İl Belediyesi,false,38.86215466,34.67928597,34.24162937800014,38.31007557800007,35.10939797700007,39.414154101000065,[],[],34.67928597,38.86215466,EPSG:4326
TR-P-51,province,TR-R-ICA,TR-R-ICA,İç Anadolu,Niğde,nigde,nigde,51,,TR-51,TR713,51,,,il_belediyesi,İl Belediyesi,false,37.85240416,34.77731672,33.990645353,37.33938822300013,35.32323218500011,38.36405540200013,[],[],34.77731672,37.85240416,EPSG:4326
TR-P-52,province,TR-R-KAR,TR-R-KAR,Karadeniz,Ordu,ordu,ordu,52,,TR-52,TR902,52,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,40.73726506,37.39695672,36.68517215000014,40.32266096200004,38.11675633000016,41.14940121300009,[],[],37.39695672,40.73726506,EPSG:4326
TR-P-53,province,TR-R-KAR,TR-R-KAR,Karadeniz,Rize,rize,rize,53,,TR-53,TR904,53,,,il_belediyesi,İl Belediyesi,false,40.9222267,40.81580698,40.32723302199997,40.51688586400013,41.39557662200008,41.32746639900017,[],[],40.81580698,40.9222267,EPSG:4326
TR-P-54,province,TR-R-MAR,TR-R-MAR,Marmara,Sakarya,sakarya,sakarya,54,,TR-54,TR422,54,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,40.73852352,30.56627076,29.99231228000008,40.2924069660001,31.010803923000026,41.18428960000011,[],[],30.56627076,40.73852352,EPSG:4326
TR-P-55,province,TR-R-KAR,TR-R-KAR,Karadeniz,Samsun,samsun,samsun,55,,TR-55,TR831,55,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,41.2826156,35.86819541,34.90874495600008,40.828245048000156,37.16931792899999,41.73710249900006,[],[],35.86819541,41.2826156,EPSG:4326
TR-P-56,province,TR-R-GDA,TR-R-GDA,Güneydoğu Anadolu,Siirt,siirt,siirt,56,,TR-56,TRC34,56,,,il_belediyesi,İl Belediyesi,false,37.92096447,42.0990372,41.37256082800019,37.577083918000085,42.88713241500017,38.26105606900006,[],[],42.0990372,37.92096447,EPSG:4326
TR-P-57,province,TR-R-KAR,TR-R-KAR,Karadeniz,Sinop,sinop,sinop,57,,TR-57,TR823,57,,,il_belediyesi,İl Belediyesi,false,41.65297204,34.99577438,34.22430191000012,41.20827275200014,35.45068519500006,42.09799870000006,[],[],34.99577438,41.65297204,EPSG:4326
TR-P-58,province,TR-R-ICA,TR-R-ICA,İç Anadolu,Sivas,sivas,sivas,58,,TR-58,TR722,58,,,il_belediyesi,İl Belediyesi,false,39.52489164,37.19869453,35.851443696,38.542435331000036,38.77219259800012,40.50673606300012,[],[],37.19869453,39.52489164,EPSG:4326
TR-P-59,province,TR-R-MAR,TR-R-MAR,Marmara,Tekirdağ,tekirdag,tekirdag,59,,TR-59,TR211,59,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,41.06321291,27.33880988,26.68316605600012,40.55037854900013,28.124339149000093,41.57562708300003,[],[],27.33880988,41.06321291,EPSG:4326
TR-P-60,province,TR-R-KAR,TR-R-KAR,Karadeniz,Tokat,tokat,tokat,60,,TR-60,TR832,60,,,il_belediyesi,İl Belediyesi,false,40.39877407,36.65451605,35.44836301700013,39.888552105000144,37.626283288000025,40.90957960800006,[],[],36.65451605,40.39877407,EPSG:4326
TR-P-61,province,TR-R-KAR,TR-R-KAR,Karadeniz,Trabzon,trabzon,trabzon,61,,TR-61,TR901,61,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,40.81136405,39.78487175,39.125879981000026,40.51322954200015,40.50658062400015,41.10983530000016,[],[],39.78487175,40.81136405,EPSG:4326
TR-P-62,province,TR-R-DOA,TR-R-DOA,Doğu Anadolu,Tunceli,tunceli,tunceli,62,,TR-62,TRB14,62,,,il_belediyesi,İl Belediyesi,false,39.18952423,39.34462969,38.729804349,38.76306747800004,40.42184783200008,39.61688726100016,[],[],39.34462969,39.18952423,EPSG:4326
TR-P-63,province,TR-R-GDA,TR-R-GDA,Güneydoğu Anadolu,Şanlıurfa,sanliurfa,sanliurfa,63,,TR-63,TRC21,63,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,37.34458247,38.92281021,37.83443475300015,36.66888289899998,40.23754498400007,38.02055680400008,[],[],38.92281021,37.34458247,EPSG:4326
TR-P-64,province,TR-R-EGE,TR-R-EGE,Ege,Uşak,usak,usak,64,,TR-64,TR334,64,,,il_belediyesi,İl Belediyesi,false,38.55668834,29.31156253,28.775980101000073,38.16195440300004,30.013497740000048,38.95164095700011,[],[],29.31156253,38.55668834,EPSG:4326
TR-P-65,province,TR-R-DOA,TR-R-DOA,Doğu Anadolu,Van,van,van,65,,TR-65,TRB21,65,,,buyuksehir_belediyesi,Büyükşehir Belediyesi,true,38.55875163,43.53860764,42.654155367000044,37.73153068500005,44.51197330000019,39.385953939,[],[],43.53860764,38.55875163,EPSG:4326
TR-P-66,province,TR-R-ICA,TR-R-ICA,İç Anadolu,Yozgat,yozgat,yozgat,66,,TR-66,TR723,66,,,il_belediyesi,İl Belediyesi,false,39.60448348,35.32582847,34.06487969900007,38.954197556,36.158774873000084,40.25458460400006,[],[],35.32582847,39.60448348,EPSG:4326
TR-P-67,province,TR-R-KAR,TR-R-KAR,Karadeniz,Zonguldak,zonguldak,zonguldak,67,,TR-67,TR811,67,,,il_belediyesi,İl Belediyesi,false,41.2964984,31.8426509,31.27789942000004,41.004186981000146,32.32295080400007,41.58877747900004,[],[],31.8426509,41.2964984,EPSG:4326
TR-P-68,province,TR-R-ICA,TR-R-ICA,İç Anadolu,Aksaray,aksaray,aksaray,68,,TR-68,TR712,68,,,il_belediyesi,İl Belediyesi,false,38.51094277,33.86387666,33.17513074800013,37.96948991300013,34.48308408700012,39.052508548,[],[],33.86387666,38.51094277,EPSG:4326
