id,level,parent_id,region_id,region_name,name,name_ascii,slug,plate_code,district_local_code,iso_3166_2,lau_code,tuik_id,icisleri_id,osm_relation_id,parent_name,centroid_lat,centroid_lon,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,aliases,member_ids,x,y,coordinate_system
TR-D-03-008,district,TR-P-03,TR-R-EGE,Ege,Dinar,dinar,dinar-afyonkarahisar,03,008,,,,,,Afyonkarahisar,38.15243475,30.21674415,29.969114200000035,37.91945170600019,30.61330521700006,38.38568341600012,[],[],30.21674415,38.15243475,EPSG:4326
TR-D-03-009,district,TR-P-03,TR-R-EGE,Ege,Emirdağ,emirdag,emirdag-afyonkarahisar,03,009,,,,,,Afyonkarahisar,39.00654962,31.33398864,30.930411342000127,38.74007873300013,31.733907972000168,39.272306628000194,[],[],31.33398864,39.00654962,EPSG:4326
TR-D-03-010,district,TR-P-03,TR-R-EGE,Ege,Evciler,evciler,evciler-afyonkarahisar,03,010,,,,,,Afyonkarahisar,38.06363634,29.90223842,29.781136974000162,37.986505568000155,30.04267217600011,38.13964016200015,[],[],29.90223842,38.06363634,EPSG:4326
TR-D-03-011,district,TR-P-03,TR-R-EGE,Ege,Hocalar,hocalar,hocalar-afyonkarahisar,03,011,,,,,,Afyonkarahisar,38.596808,29.98304245,29.743299652000132,38.44911962800006,30.103492964000168,38.74463768000015,[],[],29.98304245,38.596808,EPSG:4326
TR-D-03-012,district,TR-P-03,TR-R-EGE,Ege,İhsaniye,ihsaniye,ihsaniye-afyonkarahisar,03,012,,,,,,Afyonkarahisar,39.05965559,30.46762839,30.230221607000033,38.88982996600009,30.711467088000063,39.226961147000054,[],[],30.46762839,39.05965559,EPSG:4326
TR-D-03-013,district,TR-P-03,TR-R-EGE,Ege,İscehisar,iscehisar,iscehisar-afyonkarahisar,03,013,,,,,,Afyonkarahisar,38.93566357,30.75844451,30.645868725000184,38.788150411000174,30.916166526000097,39.08321552800015,[],[],30.75844451,38.93566357,EPSG:4326
TR-D-03-014,district,TR-P-03,TR-R-EGE,Ege,Kızılören,kiziloren,kiziloren-afyonkarahisar,03,014,,,,,,Afyonkarahisar,38.2629559,30.18844042,30.08406592600005,38.20441071400006,30.269023275000052,38.31845503800008,[],[],30.18844042,38.2629559,EPSG:4326
TR-D-03-015,district,TR-P-03,TR-R-EGE,Ege,Sandıklı,sandikli,sandikli-afyonkarahisar,03,015,,,,,,Afyonkarahisar,38.47156058,30.16712689,29.900595512000166,38.26774386900007,30.418981351000127,38.67627303700016,[],[],30.16712689,38.47156058,EPSG:4326
TR-D-03-016,district,TR-P-03,TR-R-EGE,Ege,Sinanpaşa,sinanpasa,sinanpasa-afyonkarahisar,03,016,,,,,,Afyonkarahisar,38.72594584,30.25640564,29.97626313400019,38.52317585400016,30.447921983000185,38.92809824500017,[],[],30.25640564,38.72594584,EPSG:4326
TR-D-03-017,district,TR-P-03,TR-R-EGE,Ege,Sultandağı,sultandagi,sultandagi-afyonkarahisar,03,017,,,,,,Afyonkarahisar,38.62538048,31.39740445,31.11327165400013,38.42655356400007,31.636851955000168,38.822778389000064,[],[],31.39740445,38.62538048,EPSG:4326
TR-D-03-018,district,TR-P-03,TR-R-EGE,Ege,Şuhut,suhut,suhut-afyonkarahisar,03,018,,,,,,Afyonkarahisar,38.43039945,30.55741993,30.376403200000027,38.22424573000018,30.808190765000063,38.636326812,[],[],30.55741993,38.43039945,EPSG:4326
TR-D-04-001,district,TR-P-04,TR-R-DOA,Doğu Anadolu,Ağrı,agri,agri-agri,04,001,,,,,,Ağrı,39.78075055,43.16100166,42.839645595000036,39.54195068100006,43.42041912600007,40.020467950000125,[],[],43.16100166,39.78075055,EPSG:4326
